nombre,posicion X,posicion Y,estado
sujeto1,-198,-40,vacio temporalmente,05300623DH07110822ZI09491009XC10171151VQ
sujeto10,296,408,vacio temporalmente,02010221HU03270421FA05460609XB06370749TM
sujeto100,90,182,mantenimiento,null
sujeto101,-329,330,ocupado,01130204OI02130356EJ04220518VE06250758NH
sujeto102,-278,164,vacio temporalmente,03560458EU05090513GH06500723BI08290904CC
sujeto103,-69,-488,vacio temporalmente,15471619HC17021721FM18171903FL19071914DN
sujeto104,-484,-353,mantenimiento,null
sujeto105,225,-363,mantenimiento,null
sujeto106,200,-406,mantenimiento,null
sujeto107,-327,80,mantenimiento,null
sujeto108,59,-311,vacio temporalmente,14511515CN16221712XC18101915CT20362141NH
sujeto109,324,-326,vacio temporalmente,10311140HT12331329EO14301507BT15471636OJ
sujeto11,-202,481,vacio temporalmente,05280619PI07150811WL09531006DM10331153KZ
sujeto110,436,357,vacio temporalmente,07170838IZ09441047OT11071127KZ12321307YF
sujeto111,176,359,mantenimiento,null
sujeto112,-493,-287,vacio temporalmente,11551210AB13311415SX15201629QX17081748LM
sujeto113,-108,415,vacio temporalmente,13231445QR15431644DM17451806IP18551956VQ
sujeto114,495,330,mantenimiento,null
sujeto115,-100,400,vacio temporalmente,04310542QD06020624WM07430826EI09151045KI
sujeto116,68,475,vacio temporalmente,12551330LV14501524KH16561722JD18281910LK
sujeto117,-313,-447,vacio temporalmente,13221415SM15531601EX16221732UU18081800IU
sujeto118,-307,-152,vacio temporalmente,14381558TB16271723SN18131935PC20022027OL
sujeto119,-404,82,mantenimiento,null
sujeto12,120,-190,vacio temporalmente,08100938CX10361112QC12211322WP14191557RC
sujeto120,119,-251,vacio temporalmente,07070700PE07440825UG09421006RS10301138ZO
sujeto121,-400,-30,mantenimiento,null
sujeto122,-476,-93,ocupado,02310342AN04310557GF06070612RJ07010719GS
sujeto123,113,56,vacio temporalmente,04470543KJ06220718CQ08510910HJ10101148NY
sujeto124,-433,-433,vacio temporalmente,11581236GH13421448LJ15031533HU16131735QH
sujeto125,373,-89,vacio temporalmente,10511125SM12481355UN14481502CY15051548ZQ
sujeto13,483,152,vacio temporalmente,13381445QJ15361641EA17251816OT19061941RO
sujeto14,400,-318,vacio temporalmente,08260945BN10401157FT12021257OV13591435FR
sujeto15,-421,424,vacio temporalmente,08350944QJ10451137SG12591304BX13421458ZX
sujeto16,226,150,vacio temporalmente,12171309FG13391428UL15021512XV16251727GQ
sujeto17,365,-327,vacio temporalmente,14171535KZ16481716IU18021853TJ19242049KS
sujeto18,-250,24,vacio temporalmente,12461326AV14251532DO16161712OL18161945XV
sujeto19,323,-283,vacio temporalmente,03260414UP05210645ZR07240808XC08230937BH
sujeto2,-47,-496,vacio temporalmente,11211228PN13351437DA15161617BG17441825ZF
sujeto20,89,274,vacio temporalmente,07310854XV09551011JL11161208UY12081217QV
sujeto21,52,-340,mantenimiento,null
sujeto22,266,286,vacio temporalmente,02520329DJ04210513WN06230716OA08010814LQ
sujeto23,238,-162,vacio temporalmente,15581607WZ16211745QA18241951FM20312117ET
sujeto24,-29,-157,vacio temporalmente,08330932UV10331120GH12081253FS13501403CY
sujeto25,-457,-28,mantenimiento,null
sujeto26,-340,143,mantenimiento,null
sujeto27,417,64,mantenimiento,null
sujeto28,270,-44,mantenimiento,null
